order_id,customer_id,order_date,product,category,price,quantity,payment_method,city
1001,C001,2024-01-05,Laptop,Electronics,55000,1,Card,Mumbai
1002,C002,2024-01-06,Mobile,Electronics,20000,1,UPI,Pune
1003,C001,2024-01-07,Headphones,Electronics,2000,2,Card,Mumbai
1004,C003,2024-01-08,Sofa,Furniture,30000,1,Cash,Delhi
1005,C004,2024-01-09,Table,Furniture,10000,1,UPI,Bangalore
1006,C002,2024-01-10,Mouse,Electronics,500,3,Card,Pune
1007,C005,2024-01-11,Chair,Furniture,5000,2,Cash,Chennai
1008,C001,2024-01-12,Laptop,Electronics,55000,1,Card,Mumbai
1009,C006,2024-01-13,Mobile,Electronics,18000,1,UPI,Hyderabad
1010,C007,2024-01-14,Table,Furniture,12000,1,Card,Kolkata